c_id,g,from,to,from_id,to_id,probability
1,0,region,region,548,548,0.04512456642797575
1,0,region,region,548,549,0.005990658816888381
1,0,region,region,548,550,0.006062392566388308
1,0,region,region,548,551,0.009122715839756067
1,0,region,surface,548,1,0.3740730951468021
1,0,region,surface,548,2,0.18573518571885558
1,0,region,surface,548,3,0.3738913854833338
1,0,region,region,549,548,0.005990658816888381
1,0,region,region,549,549,0.04512456642797575
1,0,region,region,549,550,0.006062392566388308
1,0,region,region,549,551,0.009122715839756067
1,0,region,surface,549,1,0.3738913854833338
1,0,region,surface,549,2,0.3740730951468021
1,0,region,surface,549,3,0.18573518571885558
1,0,region,region,550,548,0.006062392566388308
1,0,region,region,550,549,0.005990658816888381
1,0,region,region,550,550,0.04512456642797575
1,0,region,region,550,551,0.009122715839756067
1,0,region,surface,550,1,0.18573518571885558
1,0,region,surface,550,2,0.3738913854833338
1,0,region,surface,550,3,0.3740730951468021
1,0,region,region,551,548,0.011838328779757535
1,0,region,region,551,549,0.011828680420938185
1,0,region,region,551,550,0.011828887912525695
1,0,region,region,551,551,0.02051490074899276
1,0,region,surface,551,1,0.3143798413623068
1,0,region,surface,551,2,0.31514859769404224
1,0,region,surface,551,3,0.31446076308143683
1,0,surface,region,1,548,0.02539380547121039
1,0,surface,region,1,549,0.025455214119563585
1,0,surface,region,1,550,0.012625480875387143
1,0,surface,region,1,551,0.01636493307164901
1,0,surface,surface,1,1,0.0
1,0,surface,surface,1,2,0.45997307539528276
1,0,surface,surface,1,3,0.46018749106690715
1,0,surface,region,2,548,0.012615389829243321
1,0,surface,region,2,549,0.025499068987979958
1,0,surface,region,2,550,0.025458315092390153
1,0,surface,region,2,551,0.016341539952438058
1,0,surface,surface,2,1,0.4601157710926612
1,0,surface,surface,2,2,0.0
1,0,surface,surface,2,3,0.45996991504528717
1,0,surface,region,3,548,0.025432180794030992
1,0,surface,region,3,549,0.012638654859580701
1,0,surface,region,3,550,0.02546147377219104
1,0,surface,region,3,551,0.01635508888081438
1,0,surface,surface,3,1,0.46019997797236667
1,0,surface,surface,3,2,0.45991262372101627
1,0,surface,surface,3,3,0.0
1,1,region,region,548,548,0.05555080214238337
1,1,region,region,548,549,0.00715155965047762
1,1,region,region,548,550,0.00714536544040599
1,1,region,region,548,551,0.013600952406724346
1,1,region,surface,548,1,0.36910922410167135
1,1,region,surface,548,2,0.17841733865764273
1,1,region,surface,548,3,0.3690247576006946
1,1,region,region,549,548,0.00715155965047762
1,1,region,region,549,549,0.05555080214238337
1,1,region,region,549,550,0.00714536544040599
1,1,region,region,549,551,0.013600952406724346
1,1,region,surface,549,1,0.3690247576006946
1,1,region,surface,549,2,0.36910922410167135
1,1,region,surface,549,3,0.17841733865764273
1,1,region,region,550,548,0.00714536544040599
1,1,region,region,550,549,0.00715155965047762
1,1,region,region,550,550,0.05555080214238337
1,1,region,region,550,551,0.013600952406724346
1,1,region,surface,550,1,0.17841733865764273
1,1,region,surface,550,2,0.3690247576006946
1,1,region,surface,550,3,0.36910922410167135
1,1,region,region,551,548,0.014552672781974594
1,1,region,region,551,549,0.014704789362749058
1,1,region,region,551,550,0.014653188373980087
1,1,region,region,551,551,0.029400139065224398
1,1,region,surface,551,1,0.30867987582332124
1,1,region,surface,551,2,0.3088436707189798
1,1,region,surface,551,3,0.309165663873771
1,1,surface,region,1,548,0.030713324375036287
1,1,surface,region,1,549,0.030696813839450488
1,1,surface,region,1,550,0.014805716266978556
1,1,surface,region,1,551,0.023816154653654234
1,1,surface,surface,1,1,0.0
1,1,surface,surface,1,2,0.44996535450516595
1,1,surface,surface,1,3,0.45000263635971455
1,1,surface,region,2,548,0.014847931739994798
1,1,surface,region,2,549,0.030693502170942754
1,1,surface,region,2,550,0.030708682471365694
1,1,surface,region,2,551,0.023848358492861422
1,1,surface,surface,2,1,0.4498988299557076
1,1,surface,surface,2,2,0.0
1,1,surface,surface,2,3,0.4500026951691277
1,1,surface,region,3,548,0.030694907831663096
1,1,surface,region,3,549,0.014816641922601358
1,1,surface,region,3,550,0.030707689499002842
1,1,surface,region,3,551,0.023820900507874224
1,1,surface,surface,3,1,0.45000522716937247
1,1,surface,surface,3,2,0.44995463306948597
1,1,surface,surface,3,3,0.0
1,2,region,region,548,548,0.0768962179130041
1,2,region,region,548,549,0.009392110949272503
1,2,region,region,548,550,0.009403502548826586
1,2,region,region,548,551,0.0140680996831558
1,2,region,surface,548,1,0.3605014804113851
1,2,region,surface,548,2,0.16933057761777348
1,2,region,surface,548,3,0.36040801087658236
1,2,region,region,549,548,0.009392110949272503
1,2,region,region,549,549,0.0768962179130041
1,2,region,region,549,550,0.009403502548826586
1,2,region,region,549,551,0.0140680996831558
1,2,region,surface,549,1,0.36040801087658236
1,2,region,surface,549,2,0.3605014804113851
1,2,region,surface,549,3,0.16933057761777348
1,2,region,region,550,548,0.009403502548826586
1,2,region,region,550,549,0.009392110949272503
1,2,region,region,550,550,0.0768962179130041
1,2,region,region,550,551,0.0140680996831558
1,2,region,surface,550,1,0.16933057761777348
1,2,region,surface,550,2,0.36040801087658236
1,2,region,surface,550,3,0.3605014804113851
1,2,region,region,551,548,0.01843443183851002
1,2,region,region,551,549,0.018435217124511967
1,2,region,region,551,550,0.01848170605582724
1,2,region,region,551,551,0.03481157140911877
1,2,region,surface,551,1,0.30340781142833
1,2,region,surface,551,2,0.3034455051564235
1,2,region,surface,551,3,0.30298375698727853
1,2,surface,region,1,548,0.04075451796274086
1,2,surface,region,1,549,0.040711432438107445
1,2,surface,region,1,550,0.019175186142099516
1,2,surface,region,1,551,0.026371665576008913
1,2,surface,surface,1,1,0.0
1,2,surface,surface,1,2,0.4365068969419517
1,2,surface,surface,1,3,0.43648030093909157
1,2,surface,region,2,548,0.019157470243188767
1,2,surface,region,2,549,0.0407306181626887
1,2,surface,region,2,550,0.04072928838305845
1,2,surface,region,2,551,0.026368998155994586
1,2,surface,surface,2,1,0.4365493654757027
1,2,surface,surface,2,2,0.0
1,2,surface,surface,2,3,0.4364642595793668
1,2,surface,region,3,548,0.04071509342150916
1,2,surface,region,3,549,0.019143373627123324
1,2,surface,region,3,550,0.040731583833597915
1,2,surface,region,3,551,0.026366307109189538
1,2,surface,surface,3,1,0.4364998781172365
1,2,surface,surface,3,2,0.43654376389134364
1,2,surface,surface,3,3,0.0
1,3,region,region,548,548,0.07248150112668575
1,3,region,region,548,549,0.009046102979023708
1,3,region,region,548,550,0.009028660673374165
1,3,region,region,548,551,0.013450808424703399
1,3,region,surface,548,1,0.3624040171722988
1,3,region,surface,548,2,0.17133576839548406
1,3,region,surface,548,3,0.3622531412284302
1,3,region,region,549,548,0.009046102979023708
1,3,region,region,549,549,0.07248150112668575
1,3,region,region,549,550,0.009028660673374165
1,3,region,region,549,551,0.013450808424703399
1,3,region,surface,549,1,0.3622531412284302
1,3,region,surface,549,2,0.3624040171722988
1,3,region,surface,549,3,0.17133576839548406
1,3,region,region,550,548,0.009028660673374165
1,3,region,region,550,549,0.009046102979023708
1,3,region,region,550,550,0.07248150112668575
1,3,region,region,550,551,0.013450808424703399
1,3,region,surface,550,1,0.17133576839548406
1,3,region,surface,550,2,0.3622531412284302
1,3,region,surface,550,3,0.3624040171722988
1,3,region,region,551,548,0.019299176241517415
1,3,region,region,551,549,0.019318367545072285
1,3,region,region,551,550,0.019306576809554915
1,3,region,region,551,551,0.03062317423909931
1,3,region,surface,551,1,0.3035863529009788
1,3,region,surface,551,2,0.30386983228682196
1,3,region,surface,551,3,0.3039965199769554
1,3,surface,region,1,548,0.041615532121765615
1,3,surface,region,1,549,0.04161703289105996
1,3,surface,region,1,550,0.01969429529576861
1,3,surface,region,1,551,0.024068637583625367
1,3,surface,surface,1,1,0.0
1,3,surface,surface,1,2,0.4365627820820953
1,3,surface,surface,1,3,0.4364417200256852
1,3,surface,region,2,548,0.019700326911366937
1,3,surface,region,2,549,0.0416138139612785
1,3,surface,region,2,550,0.04160801091932391
1,3,surface,region,2,551,0.024079222328344516
1,3,surface,surface,2,1,0.4365058163489301
1,3,surface,surface,2,2,0.0
1,3,surface,surface,2,3,0.436492809530756
1,3,surface,region,3,548,0.04159579720316526
1,3,surface,region,3,549,0.019701460696440947
1,3,surface,region,3,550,0.04160960586672078
1,3,surface,region,3,551,0.02405739360875013
1,3,surface,surface,3,1,0.43655289328524716
1,3,surface,surface,3,2,0.43648284933967574
1,3,surface,surface,3,3,0.0
1,4,region,region,548,548,0.07999386737990263
1,4,region,region,548,549,0.009756772520903366
1,4,region,region,548,550,0.009782568173214797
1,4,region,region,548,551,0.015262093398309208
1,4,region,surface,548,1,0.3588685680523489
1,4,region,surface,548,2,0.1672141634356017
1,4,region,surface,548,3,0.35912196703971916
1,4,region,region,549,548,0.009756772520903366
1,4,region,region,549,549,0.07999386737990263
1,4,region,region,549,550,0.009782568173214797
1,4,region,region,549,551,0.015262093398309208
1,4,region,surface,549,1,0.35912196703971916
1,4,region,surface,549,2,0.3588685680523489
1,4,region,surface,549,3,0.1672141634356017
1,4,region,region,550,548,0.009782568173214797
1,4,region,region,550,549,0.009756772520903366
1,4,region,region,550,550,0.07999386737990263
1,4,region,region,550,551,0.015262093398309208
1,4,region,surface,550,1,0.1672141634356017
1,4,region,surface,550,2,0.35912196703971916
1,4,region,surface,550,3,0.3588685680523489
1,4,region,region,551,548,0.02108785407616028
1,4,region,region,551,549,0.021226242194125604
1,4,region,region,551,550,0.02115691952165041
1,4,region,region,551,551,0.03727373349792431
1,4,region,surface,551,1,0.29973245821283323
1,4,region,surface,551,2,0.29963599809343355
1,4,region,surface,551,3,0.2998867944038726
1,4,surface,region,1,548,0.04562104200068054
1,4,surface,region,1,549,0.04565967214343395
1,4,surface,region,1,550,0.021299897364105747
1,4,surface,region,1,551,0.02669932725722054
1,4,surface,surface,1,1,0.0
1,4,surface,surface,1,2,0.43036986164163304
1,4,surface,surface,1,3,0.4303501995929262
1,4,surface,region,2,548,0.02130953968548998
1,4,surface,region,2,549,0.04561715024694384
1,4,surface,region,2,550,0.045638663351489556
1,4,surface,region,2,551,0.02670227355346637
1,4,surface,surface,2,1,0.43041360794078765
1,4,surface,surface,2,2,0.0
1,4,surface,surface,2,3,0.43031876522182266
1,4,surface,region,3,548,0.04564656745918831
1,4,surface,region,3,549,0.021311771599788833
1,4,surface,region,3,550,0.04561637770094234
1,4,surface,region,3,551,0.026692141733165104
1,4,surface,surface,3,1,0.4303983798857092
1,4,surface,surface,3,2,0.43033476162120626
1,4,surface,surface,3,3,0.0
1,5,region,region,548,548,0.08534841988587324
1,5,region,region,548,549,0.010381470820397542
1,5,region,region,548,550,0.010363179531554892
1,5,region,region,548,551,0.01425307420267164
1,5,region,surface,548,1,0.3568259653278559
1,5,region,surface,548,2,0.16597479320217023
1,5,region,surface,548,3,0.3568530970294766
1,5,region,region,549,548,0.010381470820397542
1,5,region,region,549,549,0.08534841988587324
1,5,region,region,549,550,0.010363179531554892
1,5,region,region,549,551,0.01425307420267164
1,5,region,surface,549,1,0.3568530970294766
1,5,region,surface,549,2,0.3568259653278559
1,5,region,surface,549,3,0.16597479320217023
1,5,region,region,550,548,0.010363179531554892
1,5,region,region,550,549,0.010381470820397542
1,5,region,region,550,550,0.08534841988587324
1,5,region,region,550,551,0.01425307420267164
1,5,region,surface,550,1,0.16597479320217023
1,5,region,surface,550,2,0.3568530970294766
1,5,region,surface,550,3,0.3568259653278559
1,5,region,region,551,548,0.02261192622774095
1,5,region,region,551,549,0.02267364830758903
1,5,region,region,551,550,0.022657414555081037
1,5,region,region,551,551,0.032179525010547716
1,5,region,surface,551,1,0.3000098924429346
1,5,region,surface,551,2,0.2998407908543097
1,5,region,surface,551,3,0.30002680260179704
1,5,surface,region,1,548,0.04792775183096215
1,5,surface,region,1,549,0.04792080965131998
1,5,surface,region,1,550,0.02228303839885569
1,5,surface,region,1,551,0.02608025974617882
1,5,surface,surface,1,1,0.0
1,5,surface,surface,1,2,0.4278706780592865
1,5,surface,surface,1,3,0.42791746231339683
1,5,surface,region,2,548,0.022280504060940284
1,5,surface,region,2,549,0.04792315489764384
1,5,surface,region,2,550,0.04793552960187709
1,5,surface,region,2,551,0.026106249512368743
1,5,surface,surface,2,1,0.4278674717468147
1,5,surface,surface,2,2,0.0
1,5,surface,surface,2,3,0.42788709018035526
1,5,surface,region,3,548,0.04791767810631635
1,5,surface,region,3,549,0.022269354408604163
1,5,surface,region,3,550,0.04793035490043359
1,5,surface,region,3,551,0.026078278298188682
1,5,surface,surface,3,1,0.4278689660157786
1,5,surface,surface,3,2,0.4279353682706785
1,5,surface,surface,3,3,0.0
1,6,region,region,548,548,0.0948482807713895
1,6,region,region,548,549,0.010245729926334098
1,6,region,region,548,550,0.010233834364846659
1,6,region,region,548,551,0.029560721257506403
1,6,region,surface,548,1,0.3509178090734775
1,6,region,surface,548,2,0.15314280609017614
1,6,region,surface,548,3,0.35105081851626957
1,6,region,region,549,548,0.010245729926334098
1,6,region,region,549,549,0.0948482807713895
1,6,region,region,549,550,0.010233834364846659
1,6,region,region,549,551,0.029560721257506403
1,6,region,surface,549,1,0.35105081851626957
1,6,region,surface,549,2,0.3509178090734775
1,6,region,surface,549,3,0.15314280609017614
1,6,region,region,550,548,0.010233834364846659
1,6,region,region,550,549,0.010245729926334098
1,6,region,region,550,550,0.0948482807713895
1,6,region,region,550,551,0.029560721257506403
1,6,region,surface,550,1,0.15314280609017614
1,6,region,surface,550,2,0.35105081851626957
1,6,region,surface,550,3,0.3509178090734775
1,6,region,region,551,548,0.021345680937935943
1,6,region,region,551,549,0.021377750114064228
1,6,region,region,551,550,0.021329565367103797
1,6,region,region,551,551,0.1846415208693403
1,6,region,surface,551,1,0.2504173446948918
1,6,region,surface,551,2,0.2505250517763327
1,6,region,surface,551,3,0.25036308624033127
1,6,surface,region,1,548,0.04938892714943734
1,6,surface,region,1,549,0.04938474482227898
1,6,surface,region,1,550,0.02156651851934466
1,6,surface,region,1,551,0.052263057225388404
1,6,surface,surface,1,1,0.0
1,6,surface,surface,1,2,0.4137001187780913
1,6,surface,surface,1,3,0.4136966335054594
1,6,surface,region,2,548,0.021587177107704105
1,6,surface,region,2,549,0.049330841251791734
1,6,surface,region,2,550,0.04936203583892091
1,6,surface,region,2,551,0.052277422699725955
1,6,surface,surface,2,1,0.41376395805286525
1,6,surface,surface,2,2,0.0
1,6,surface,surface,2,3,0.41367856504899203
1,6,surface,region,3,548,0.04940828691079623
1,6,surface,region,3,549,0.02159362435942475
1,6,surface,region,3,550,0.04939103529228075
1,6,surface,region,3,551,0.05230481623366846
1,6,surface,surface,3,1,0.4136432769571351
1,6,surface,surface,3,2,0.4136589602466946
1,6,surface,surface,3,3,0.0
1,7,region,region,548,548,0.11008809504927485
1,7,region,region,548,549,0.011835952735310816
1,7,region,region,548,550,0.011800453548816916
1,7,region,region,548,551,0.011168941704872802
1,7,region,surface,548,1,0.34683598776740276
1,7,region,surface,548,2,0.1606933226700384
1,7,region,surface,548,3,0.34757724652428335
1,7,region,region,549,548,0.011835952735310816
1,7,region,region,549,549,0.11008809504927485
1,7,region,region,549,550,0.011800453548816916
1,7,region,region,549,551,0.011168941704872802
1,7,region,surface,549,1,0.34757724652428335
1,7,region,surface,549,2,0.34683598776740276
1,7,region,surface,549,3,0.1606933226700384
1,7,region,region,550,548,0.011800453548816916
1,7,region,region,550,549,0.011835952735310816
1,7,region,region,550,550,0.11008809504927485
1,7,region,region,550,551,0.011168941704872802
1,7,region,surface,550,1,0.1606933226700384
1,7,region,surface,550,2,0.34757724652428335
1,7,region,surface,550,3,0.34683598776740276
1,7,region,region,551,548,0.02786560836713088
1,7,region,region,551,549,0.02807204159026367
1,7,region,region,551,550,0.02749963650630833
1,7,region,region,551,551,0.02605810457492554
1,7,region,surface,551,1,0.2964372072662692
1,7,region,surface,551,2,0.2975587954295629
1,7,region,surface,551,3,0.29650860626553943
1,7,surface,region,1,548,0.05180246678943681
1,7,surface,region,1,549,0.051804811707613675
1,7,surface,region,1,550,0.023914970453005068
1,7,surface,region,1,551,0.021205036450434044
1,7,surface,surface,1,1,0.0
1,7,surface,surface,1,2,0.4255528195897044
1,7,surface,surface,1,3,0.425719895009806
1,7,surface,region,2,548,0.02390903138512196
1,7,surface,region,2,549,0.05171328358184891
1,7,surface,region,2,550,0.05150983340097906
1,7,surface,region,2,551,0.02125001960479949
1,7,surface,surface,2,1,0.426301417892388
1,7,surface,surface,2,2,0.0
1,7,surface,surface,2,3,0.42531641413486254
1,7,surface,region,3,548,0.05166141958149484
1,7,surface,region,3,549,0.02400813842955326
1,7,surface,region,3,550,0.05171127590875693
1,7,surface,region,3,551,0.021351705331274912
1,7,surface,surface,3,1,0.42538298237558303
1,7,surface,surface,3,2,0.42588447837333704
1,7,surface,surface,3,3,0.0
487,0,region,region,2492,2492,0.031138771834353065
487,0,region,region,2492,2493,0.0036905158807030896
487,0,region,surface,2492,1459,0.42041997977602374
487,0,region,surface,2492,1460,0.13043152524815427
487,0,region,surface,2492,1461,0.4143192072607658
487,0,region,region,2493,2492,0.009088136858130754
487,0,region,region,2493,2493,0.010810884128183908
487,0,region,surface,2493,1459,0.36656898138402216
487,0,region,surface,2493,1460,0.3074460149767016
487,0,region,surface,2493,1461,0.3060859826529616
487,0,surface,region,1459,2492,0.02162266218252096
487,0,surface,region,1459,2493,0.00768204160516184
487,0,surface,surface,1459,1459,0.0
487,0,surface,surface,1459,1460,0.31018367750673387
487,0,surface,surface,1459,1461,0.6605116187055834
487,0,surface,region,1460,2492,0.013405229109179455
487,0,surface,region,1460,2493,0.012875734828582317
487,0,surface,surface,1460,1459,0.6194401121631583
487,0,surface,surface,1460,1460,0.0
487,0,surface,surface,1460,1461,0.35427892389908
487,0,surface,region,1461,2492,0.024579665253915414
487,0,surface,region,1461,2493,0.0074050974933151026
487,0,surface,surface,1461,1459,0.7624925794971055
487,0,surface,surface,1461,1460,0.20552265775566406
487,0,surface,surface,1461,1461,0.0
487,1,region,region,2492,2492,0.03827817129864447
487,1,region,region,2492,2493,0.005571387832517688
487,1,region,surface,2492,1459,0.41732327686027115
487,1,region,surface,2492,1460,0.12768969943979894
487,1,region,surface,2492,1461,0.4111374645687676
487,1,region,region,2493,2492,0.011280157048099634
487,1,region,region,2493,2493,0.015317798195424727
487,1,region,surface,2493,1459,0.36395984806066833
487,1,region,surface,2493,1460,0.3054199988065365
487,1,region,surface,2493,1461,0.30402219788927076
487,1,surface,region,1459,2492,0.026228760384155014
487,1,surface,region,1459,2493,0.011328656168286861
487,1,surface,surface,1459,1459,0.0
487,1,surface,surface,1459,1460,0.30728612713914955
487,1,surface,surface,1459,1461,0.6551564563084086
487,1,surface,region,1460,2492,0.016022015764928333
487,1,surface,region,1460,2493,0.019043534831040383
487,1,surface,surface,1460,1459,0.6142955964163341
487,1,surface,surface,1460,1460,0.0
487,1,surface,surface,1460,1461,0.35063885298769726
487,1,surface,region,1461,2492,0.029839002478504805
487,1,surface,region,1461,2493,0.010916685306716283
487,1,surface,surface,1461,1459,0.7563720367088212
487,1,surface,surface,1461,1460,0.20287227550595782
487,1,surface,surface,1461,1461,0.0
487,2,region,region,2492,2492,0.05314510992510605
487,2,region,region,2492,2493,0.005832839164525268
487,2,region,surface,2492,1459,0.4112039050317366
487,2,region,surface,2492,1460,0.12474962113724715
487,2,region,surface,2492,1461,0.40506852474138494
487,2,region,region,2493,2492,0.014175942820388285
487,2,region,region,2493,2493,0.01844729438223879
487,2,region,surface,2493,1459,0.36155805472055585
487,2,region,surface,2493,1460,0.304407977929755
487,2,region,surface,2493,1461,0.301410730147062
487,2,surface,region,1459,2492,0.03498666607563391
487,2,surface,region,1459,2493,0.012747806448292586
487,2,surface,surface,1459,1459,0.0
487,2,surface,surface,1459,1460,0.30485926595985663
487,2,surface,surface,1459,1461,0.6474062615162169
487,2,surface,region,1460,2492,0.021244844630544976
487,2,surface,region,1460,2493,0.0214796996975266
487,2,surface,surface,1460,1459,0.6100583566441946
487,2,surface,surface,1460,1460,0.0
487,2,surface,surface,1460,1461,0.3472170990277339
487,2,surface,region,1461,2492,0.039804475938770595
487,2,surface,region,1461,2493,0.012264558991703384
487,2,surface,surface,1461,1459,0.7473635986596304
487,2,surface,surface,1461,1460,0.20056736640989556
487,2,surface,surface,1461,1461,0.0
487,3,region,region,2492,2492,0.050101583335914655
487,3,region,region,2492,2493,0.005522445891914935
487,3,region,surface,2492,1459,0.41257393007161697
487,3,region,surface,2492,1460,0.12546622878072064
487,3,region,surface,2492,1461,0.4063358119198327
487,3,region,region,2493,2492,0.014863990871418339
487,3,region,region,2493,2493,0.01605819581271606
487,3,region,surface,2493,1459,0.3620757360775046
487,3,region,surface,2493,1460,0.3049491957536189
487,3,region,surface,2493,1461,0.3020528814847422
487,3,surface,region,1459,2492,0.03577918579178907
487,3,surface,region,1459,2493,0.011604313573449968
487,3,surface,surface,1459,1459,0.0
487,3,surface,surface,1459,1460,0.305197021443456
487,3,surface,surface,1459,1461,0.6474194791913049
487,3,surface,region,1460,2492,0.021784387126109684
487,3,surface,region,1460,2493,0.019572787251965207
487,3,surface,surface,1460,1459,0.6108357268798242
487,3,surface,surface,1460,1460,0.0
487,3,surface,surface,1460,1461,0.34780709874210086
487,3,surface,region,1461,2492,0.040688834161647904
487,3,surface,region,1461,2493,0.011169533099173597
487,3,surface,surface,1461,1459,0.7474498016356951
487,3,surface,surface,1461,1460,0.20069183110348354
487,3,surface,surface,1461,1461,0.0
487,4,region,region,2492,2492,0.055361133213222974
487,4,region,region,2492,2493,0.006332393543427999
487,4,region,surface,2492,1459,0.4102493879224259
487,4,region,surface,2492,1460,0.12399806296452828
487,4,region,surface,2492,1461,0.4040590223563948
487,4,region,region,2493,2492,0.016370929403105503
487,4,region,region,2493,2493,0.019900115740057546
487,4,region,surface,2493,1459,0.3599701954594844
487,4,region,surface,2493,1460,0.30375408257274394
487,4,region,surface,2493,1461,0.30000467682460863
487,4,surface,region,1459,2492,0.039395911102902297
487,4,surface,region,1459,2493,0.01303322192688715
487,4,surface,surface,1459,1459,0.0
487,4,surface,surface,1459,1460,0.3038330917444455
487,4,surface,surface,1459,1461,0.6437377752257649
487,4,surface,region,1460,2492,0.023849692775153322
487,4,surface,region,1460,2493,0.021970438331191573
487,4,surface,surface,1460,1459,0.6083080953550386
487,4,surface,surface,1460,1460,0.0
487,4,surface,surface,1460,1461,0.3458717735386164
487,4,surface,region,1461,2492,0.04482417320856662
